Source Name	Comment [GEOAccession]	Comment [RegenAccession]	Comment [Sample Group Code]	Comment [Sample Group Name]	Comment [Summarized Expression Unit]	Characteristics [Organism]	Term Source REF	Term Accession Number	Comment[sample type]	Characteristics [Organism Part]	Term Source REF	Term Accession Number	Characteristics [Developmental Stage]	Term Source REF	Term Accession Number	Characteristics [Strain]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Protocol REF	Derived Array Data Matrix File	Factor Value [Time]	Unit [TimeUnit]	Factor Value [Tissue Class]	Factor Value [Organism Part]
GSM1653181	GSM1653181	REGENS:507	DPI03	3 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 3 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 3 days after injury	Zebrafish heart ventricles 3 days after injury	P-GSE67665-2	"heart ventricles at T3d post-injury, biological rep2"	P-GSE67665-4	GSM1653181 extract 1	total RNA	P-GSE67665-5	GSM1653181 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653181	A-GEOD-16933	P-GSE67665-7	GSM1653181.CEL	GSM1653181_2_CI-3D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	3	days	heart	heart
GSM1653182	GSM1653182	REGENS:508	DPI03	3 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 3 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 3 days after injury	Zebrafish heart ventricles 3 days after injury	P-GSE67665-2	"heart ventricles at T3d post-injury, biological rep3"	P-GSE67665-4	GSM1653182 extract 1	total RNA	P-GSE67665-5	GSM1653182 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653182	A-GEOD-16933	P-GSE67665-7	GSM1653182.CEL	GSM1653182_3_CI-3D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	3	days	heart	heart
GSM1653183	GSM1653183	REGENS:509	DPI07	7 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 7 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 7 days after injury	Zebrafish heart ventricles 7 days after injury	P-GSE67665-2	"heart ventricles at T7d post-injury, biological rep1"	P-GSE67665-4	GSM1653183 extract 1	total RNA	P-GSE67665-5	GSM1653183 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653183	A-GEOD-16933	P-GSE67665-7	GSM1653183.CEL	GSM1653183_1_CI-7D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	7	days	heart	heart
GSM1653184	GSM1653184	REGENS:510	DPI07	7 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 7 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 7 days after injury	Zebrafish heart ventricles 7 days after injury	P-GSE67665-2	"heart ventricles at T7d post-injury, biological rep2"	P-GSE67665-4	GSM1653184 extract 1	total RNA	P-GSE67665-5	GSM1653184 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653184	A-GEOD-16933	P-GSE67665-7	GSM1653184.CEL	GSM1653184_2_CI-7D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	7	days	heart	heart
GSM1653185	GSM1653185	REGENS:511	DPI07	7 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 7 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 7 days after injury	Zebrafish heart ventricles 7 days after injury	P-GSE67665-2	"heart ventricles at T7d post-injury, biological rep3"	P-GSE67665-4	GSM1653185 extract 1	total RNA	P-GSE67665-5	GSM1653185 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653185	A-GEOD-16933	P-GSE67665-7	GSM1653185.CEL	GSM1653185_3_CI-7D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	7	days	heart	heart
GSM1653186	GSM1653186	REGENS:512	DPI14	14 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 14 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 14 days after injury	Zebrafish heart ventricles 14 days after injury	P-GSE67665-2	"heart ventricles at T14d post-injury, biological rep1"	P-GSE67665-4	GSM1653186 extract 1	total RNA	P-GSE67665-5	GSM1653186 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653186	A-GEOD-16933	P-GSE67665-7	GSM1653186.CEL	GSM1653186_1_CI-14D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	14	days	heart	heart
GSM1653187	GSM1653187	REGENS:513	DPI14	14 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 14 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 14 days after injury	Zebrafish heart ventricles 14 days after injury	P-GSE67665-2	"heart ventricles at T14d post-injury, biological rep2"	P-GSE67665-4	GSM1653187 extract 1	total RNA	P-GSE67665-5	GSM1653187 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653187	A-GEOD-16933	P-GSE67665-7	GSM1653187.CEL	GSM1653187_2_CI-14D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	14	days	heart	heart
GSM1653188	GSM1653188	REGENS:514	DPI14	14 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 14 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 14 days after injury	Zebrafish heart ventricles 14 days after injury	P-GSE67665-2	"heart ventricles at T14d post-injury, biological rep3"	P-GSE67665-4	GSM1653188 extract 1	total RNA	P-GSE67665-5	GSM1653188 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653188	A-GEOD-16933	P-GSE67665-7	GSM1653188.CEL	GSM1653188_3_CI-14D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	14	days	heart	heart
GSM1653189	GSM1653189	REGENS:515	DPI90	90 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 90 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 90 days after injury	Zebrafish heart ventricles 90 days after injury	P-GSE67665-2	"heart ventricles at T90d post-injury, biological rep1"	P-GSE67665-4	GSM1653189 extract 1	total RNA	P-GSE67665-5	GSM1653189 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653189	A-GEOD-16933	P-GSE67665-7	GSM1653189.CEL	GSM1653189_1_CI-90D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	90	days	heart	heart
GSM1653190	GSM1653190	REGENS:516	DPI90	90 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 90 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 90 days after injury	Zebrafish heart ventricles 90 days after injury	P-GSE67665-2	"heart ventricles at T90d post-injury, biological rep2"	P-GSE67665-4	GSM1653190 extract 1	total RNA	P-GSE67665-5	GSM1653190 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653190	A-GEOD-16933	P-GSE67665-7	GSM1653190.CEL	GSM1653190_2_CI-90D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	90	days	heart	heart
GSM1653191	GSM1653191	REGENS:517	DPI90	90 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 90 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 90 days after injury	Zebrafish heart ventricles 90 days after injury	P-GSE67665-2	"heart ventricles at T90d post-injury, biological rep3"	P-GSE67665-4	GSM1653191 extract 1	total RNA	P-GSE67665-5	GSM1653191 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653191	A-GEOD-16933	P-GSE67665-7	GSM1653191.CEL	GSM1653191_3_CI-90D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	90	days	heart	heart
